[CSV] C:\Users\MASL\Desktop\ir data(get)\시나리오\회대 시나리오 밝음.csv
[결과 폴더] C:\Users\MASL\Desktop\코드개선\3차 수동\predict_results\회대_20260329_232149
[바닥] 회대
[baseline] 819.522
전체 window 수: 115
바닥: 7개 (6.1%)
액체: 108개 (93.9%)

[상세 window]
[001]    0-  15 | final=  바닥 | state=      FLOOR | pL= 90.5 | pF=  9.5 | anch_ofs= 33.01/327.80 | chg= 33.01 | grad=163.90 | edge=0.20 | anchor=819.52
[086]  425- 440 | final=  액체 | state=LIQUID_HOLD | pL= 78.8 | pF= 21.2 | anch_ofs= 47.96/ 59.28 | chg= 51.00 | grad= 7.38 | edge=0.53 | anchor=822.56
[087]  430- 445 | final=  액체 | state=LIQUID_HOLD | pL= 86.7 | pF= 13.3 | anch_ofs= 57.87/ 59.28 | chg= 60.91 | grad= 4.96 | edge=0.20 | anchor=822.56
[088]  435- 450 | final=  액체 | state=LIQUID_HOLD | pL= 64.1 | pF= 35.9 | anch_ofs= 58.83/ 59.20 | chg= 61.86 | grad= 0.10 | edge=0.00 | anchor=822.56
[089]  440- 455 | final=  액체 | state=LIQUID_HOLD | pL= 61.5 | pF= 38.5 | anch_ofs= 58.88/ 59.40 | chg= 61.92 | grad= 0.14 | edge=0.00 | anchor=822.56
[090]  445- 460 | final=  액체 | state=LIQUID_HOLD | pL= 76.0 | pF= 24.0 | anch_ofs= 59.09/ 59.44 | chg= 62.13 | grad= 0.14 | edge=0.00 | anchor=822.56
[091]  450- 465 | final=  액체 | state=LIQUID_HOLD | pL= 76.8 | pF= 23.2 | anch_ofs= 58.78/ 59.44 | chg= 61.82 | grad= 3.48 | edge=0.20 | anchor=822.56
[092]  455- 470 | final=  액체 | state=LIQUID_HOLD | pL= 76.7 | pF= 23.3 | anch_ofs= 50.53/ 59.44 | chg= 53.57 | grad= 7.30 | edge=0.53 | anchor=822.56
[093]  460- 475 | final=  액체 | state=LIQUID_HOLD | pL= 72.8 | pF= 27.2 | anch_ofs= 35.98/ 59.44 | chg= 39.01 | grad= 7.30 | edge=0.67 | anchor=822.56
[094]  465- 480 | final=  액체 | state=LIQUID_HOLD | pL= 63.2 | pF= 36.8 | anch_ofs= 21.84/ 48.44 | chg= 24.87 | grad= 7.30 | edge=0.47 | anchor=822.56
[095]  470- 485 | final=  액체 | state=LIQUID_HOLD | pL= 55.7 | pF= 44.3 | anch_ofs= 15.48/ 17.80 | chg= 18.51 | grad= 2.00 | edge=0.13 | anchor=822.56
[096]  475- 490 | final=  액체 | state=LIQUID_HOLD | pL= 91.8 | pF=  8.2 | anch_ofs= 15.39/ 15.56 | chg= 18.42 | grad= 0.12 | edge=0.00 | anchor=822.56
[097]  480- 495 | final=  액체 | state=LIQUID_HOLD | pL= 73.4 | pF= 26.6 | anch_ofs= 15.43/ 15.68 | chg= 18.46 | grad= 0.16 | edge=0.00 | anchor=822.56
[098]  485- 500 | final=  액체 | state=LIQUID_HOLD | pL= 60.1 | pF= 39.9 | anch_ofs= 15.68/ 16.64 | chg= 18.72 | grad= 0.40 | edge=0.00 | anchor=822.56
[099]  490- 505 | final=  액체 | state=LIQUID_HOLD | pL= 55.1 | pF= 44.9 | anch_ofs= 19.23/ 38.20 | chg= 22.26 | grad= 7.80 | edge=0.33 | anchor=822.56
[100]  495- 510 | final=  액체 | state=LIQUID_HOLD | pL= 66.1 | pF= 33.9 | anch_ofs= 34.18/ 70.00 | chg= 37.22 | grad= 8.54 | edge=0.67 | anchor=822.56
[101]  500- 515 | final=  액체 | state=LIQUID_HOLD | pL= 76.4 | pF= 23.6 | anch_ofs= 52.58/ 71.68 | chg= 55.62 | grad= 8.54 | edge=0.67 | anchor=822.56
[102]  505- 520 | final=  액체 | state=LIQUID_HOLD | pL= 83.8 | pF= 16.2 | anch_ofs= 67.45/ 71.68 | chg= 70.49 | grad= 8.36 | edge=0.33 | anchor=822.56
[103]  510- 525 | final=  액체 | state=LIQUID_HOLD | pL= 72.2 | pF= 27.8 | anch_ofs= 70.69/ 71.68 | chg= 73.73 | grad= 0.32 | edge=0.00 | anchor=822.56
