Time=27.2s | BaseRaw=874.5 | CurrentRaw=826.6 | Change=47.9 => Coffee
Time=27.3s | BaseRaw=874.5 | CurrentRaw=823.2 | Change=51.3 => Coffee
Time=27.4s | BaseRaw=874.5 | CurrentRaw=819.8 | Change=54.7 => Coffee
Time=27.5s | BaseRaw=874.5 | CurrentRaw=816.8 | Change=57.7 => Coffee
Time=27.6s | BaseRaw=874.5 | CurrentRaw=814.4 | Change=60.1 => Matcha
Time=27.7s | BaseRaw=874.5 | CurrentRaw=812.0 | Change=62.5 => Matcha
Time=27.8s | BaseRaw=874.5 | CurrentRaw=809.6 | Change=64.9 => Matcha
Time=27.9s | BaseRaw=874.5 | CurrentRaw=806.6 | Change=67.9 => Matcha
Time=28.0s | BaseRaw=874.5 | CurrentRaw=803.4 | Change=71.1 => Matcha
Time=28.1s | BaseRaw=874.5 | CurrentRaw=800.2 | Change=74.3 => Matcha
